Name,Level,Time,Points,Date,Year
Charlie Yeudall,Dam Agent,0:53,97,31-May-17,
Adam Woodson,Dam Agent,0:53,97,1-Jun-17,
Taylor Harris,Dam Agent,0:53,97,8-Jun-17,
Jolain Goulette,Dam Agent,0:53,97,8-Jun-17,
Justin Thorogood,Dam Agent,0:53,97,10-Jun-17,
Chad H,Dam Agent,0:53,97,27-Jun-17,
Blake Carroll,Dam Agent,0:53,97,4-Jul-17,
Glan Ivin,Dam Agent,0:53,97,10-Jul-17,
Jake Aguirre,Dam Agent,0:53,97,24-Jul-17,
David Gonzales,Dam Agent,0:53,97,25-Jul-17,
Stefan Bangen,Dam Agent,0:53,97,27-Jul-17,
Eike Kusch,Dam Agent,0:53,97,29-Jul-17,
Harry Van Dort,Dam Agent,0:53,97,30-Jul-17,
Irie Butler,Dam Agent,0:53,97,21-Aug-17,
Henry Rodriguez,Dam Agent,0:53,97,22-Aug-17,
Jonathan Hauptman,Dam Agent,0:53,97,3-Sep-17,
Brent McGarvey,Dam Agent,0:53,97,7-Sep-17,
Braiden Michetti,Dam Agent,0:53,97,12-Sep-17,
Scott Berger,Dam Agent,0:53,97,14-Sep-17,
James W,Dam Agent,0:53,97,19-Sep-17,
Mike Mint,Dam Agent,0:53,97,5-Nov-17,
Madoka Kaname,Dam Agent,0:53,97,7-Nov-17,
Hayden King,Dam Agent,0:53,97,27-Dec-17,
Matthew Solly,Dam Agent,0:53,97,25-Jan-18,
Eric Bergmann,Dam Agent,0:53,97,1-Feb-18,
Jakob Birkenes,Dam Agent,0:53,97,3-Feb-18,
Chris Leon,Dam Agent,0:53,97,16-Feb-18,
Eric Sones,Dam Agent,0:53,97,17-Feb-18,
Lance Mudryk,Dam Agent,0:53,97,22-Feb-18,
Adam Verbsky,Dam Agent,0:53,97,27-Mar-18,
Zach Mulac,Dam Agent,0:53,97,6-Apr-18,
Terrance Collins,Dam Agent,0:53,97,8-Apr-18,
L,Dam Agent,0:53,97,19-Apr-18,
Martin Mellstam,Dam Agent,0:53,97,20-May-18,
Josh Schwarz,Dam Agent,0:53,97,25-May-18,
Karl M,Dam Agent,0:53,97,5-Jun-18,
Joris Quevedo,Dam Agent,0:53,97,7-Jun-18,
Joonas Kyt,Dam Agent,0:53,97,13-Jun-18,
Hedson de Carvalho Soares,Dam Agent,0:53,97,13-Jun-18,
Troy Noojin,Dam Agent,0:53,97,16-Jun-18,
Mike Mckelvey,Dam Agent,0:53,97,23-Jun-18,
Ted Logan,Dam Agent,0:53,97,23-Jun-18,
Kyle Serbov,Dam Agent,0:53,97,1-Jul-18,
Simon L,Dam Agent,0:53,97,3-Jul-18,
Jordan Roach,Dam Agent,0:53,97,20-Jul-18,
Michael W,Dam Agent,0:53,97,1-Aug-18,
Kevin Birrell,Dam Agent,0:53,97,3-Aug-18,
Liam Gaughan,Dam Agent,0:53,97,12-Aug-18,
Nikolaj S,Dam Agent,0:53,97,6-Sep-18,
Roger Cantley,Dam Agent,0:53,97,23-Sep-18,
Beck Abney,Dam Agent,0:53,97,24-Sep-18,
David Jones,Dam Agent,0:53,97,30-Sep-18,
Zachary Risebrough,Dam Agent,0:53,97,15-Oct-18,
Niall Case,Dam Agent,0:53,97,20-Oct-18,
Michael Lightbody,Dam Agent,0:53,97,27-Oct-18,
Kevin Buick,Dam Agent,0:53,97,11-Nov-18,
Aaron Budwal,Dam Agent,0:53,97,13-Nov-18,
Marc Rützou,Dam Secret Agent,1:16,100,28-Jan-11,
Rayan I,Dam Secret Agent,1:16,100,11-Oct-16,
Dan Parker,Dam Secret Agent,1:16,100,12-Aug-18,
Ilari Pekkala,Dam Secret Agent,1:17,94,8-Jun-06,
David Clemens,Dam Secret Agent,1:17,94,26-Jan-08,
Bryan B,Dam Secret Agent,1:17,94,14-May-08,
Luke Szklarz,Dam Secret Agent,1:17,94,25-Nov-13,
Philip Bezgoubov,Dam Secret Agent,1:17,94,31-Mar-14,
Carl-Magnus Wall,Dam Secret Agent,1:17,94,12-May-17,
Daniel Coelho,Dam Secret Agent,1:17,94,20-Sep-17,
Dan Cervone,Dam Secret Agent,1:18,87,20-Apr-05,
Shawn Johnson,Dam Secret Agent,1:18,87,12-Sep-09,
Guilherme Alberto,Dam Secret Agent,1:18,87,9-Jul-13,
Ryan Lockwood,Dam Secret Agent,1:18,87,23-Nov-13,
Luke Pettit,Dam Secret Agent,1:18,87,28-Nov-13,
Eise S,Dam Secret Agent,1:18,87,29-Nov-13,
Jim Barrett,Dam Secret Agent,1:18,87,29-Nov-13,
Karl Jobst,Dam Secret Agent,1:18,87,30-Jul-14,
Alex Anderson,Dam Secret Agent,1:18,87,29-Oct-14,
Ryan Koch,Dam Secret Agent,1:18,87,19-Sep-15,
Justin St-Pierre,Dam Secret Agent,1:18,87,4-Oct-15,
Ryan W,Dam Secret Agent,1:18,87,17-Sep-16,
Rich Noe,Dam Secret Agent,1:18,87,7-Oct-16,
Axel Zakrisson,Dam Secret Agent,1:18,87,15-Oct-16,
Oscar Pleininger,Dam Secret Agent,1:18,87,4-Oct-17,
Austin H,Dam Secret Agent,1:18,87,13-May-18,
Brent McGarvey,Dam Secret Agent,1:18,87,4-Jun-18,
Charlie Yeudall,Dam Secret Agent,1:18,87,22-Aug-18,
Jonathan Hotinski,Dam Secret Agent,1:18,87,15-Sep-18,
Wouter Jansen,Dam Secret Agent,1:19,68,17-Nov-03,
Michael K,Dam Secret Agent,1:19,68,23-May-06,
Graham Maddocks,Dam Secret Agent,1:19,68,22-May-08,
Jimmy Bauer,Dam Secret Agent,1:19,68,24-Oct-08,
Patrik Nilsson,Dam Secret Agent,1:19,68,5-Feb-09,
Alex Carvalho ,Dam Secret Agent,1:19,68,2-Apr-15,
Randy Buikema,Dam Secret Agent,1:19,68,6-Jun-15,
Gregor Degenhart,Dam Secret Agent,1:19,68,10-Nov-15,
Gus Riolo,Dam Secret Agent,1:19,68,21-Dec-15,
Taylor v,Dam Secret Agent,1:19,68,2-Feb-16,
Daniel Dickens,Dam Secret Agent,1:19,68,8-Apr-16,
Jezz S,Dam Secret Agent,1:19,68,9-Apr-16,
Jo,Dam Secret Agent,1:19,68,11-Apr-16,
Austin P,Dam Secret Agent,1:19,68,19-Apr-16,
Marc Williams,Dam Secret Agent,1:19,68,29-May-16,
Tyler Deel,Dam Secret Agent,1:19,68,18-Oct-16,
Sam Rodrigues,Dam Secret Agent,1:19,68,25-Oct-16,
Vitor Miranda,Dam Secret Agent,1:19,68,7-Feb-17,
Laercio Rodolfo,Dam Secret Agent,1:19,68,24-Apr-17,
Sakuya A,Dam Secret Agent,1:19,68,6-May-17,
Irie Butler,Dam Secret Agent,1:19,68,31-Oct-17,
Eric Liikala,Dam Secret Agent,1:19,68,22-Dec-17,
Timmy Johansson,Dam Secret Agent,1:19,68,6-Jun-18,
Chris Leon,Dam Secret Agent,1:19,68,23-Jun-18,
Craig McGrath,Dam Secret Agent,1:19,68,8-Jul-18,
Troy Noojin,Dam Secret Agent,1:19,68,4-Nov-18,
Mike Mckelvey,Dam Secret Agent,1:19,68,30-Nov-18,
David Witten,Dam Secret Agent,1:19,68,,
Eddie Lovins,Dam Secret Agent,1:19,68,,
Leonardo Santos,Dam Secret Agent,1:19,68,,
Simon Sternis,Dam Secret Agent,1:19,68,,
Trent H,Dam Secret Agent,1:19,68,,
Henrik Norgren,Dam Secret Agent,1:19,68,12-Jun-06,
Glen Stevens,Dam Secret Agent,1:19,68,,
Rafael Lanfredi,Dam Secret Agent,1:19,68,,
Marc Rützou,Dam 00 Agent,1:55,100,25-Jan-11,
Rayan I,Dam 00 Agent,1:55,100,27-Jun-17,
David Clemens,Dam 00 Agent,1:56,95,22-Sep-10,
Ryan W,Dam 00 Agent,1:56,95,12-Jun-17,
Ilari Pekkala,Dam 00 Agent,1:57,93,20-Jun-10,
Luke Szklarz,Dam 00 Agent,1:57,93,19-Aug-15,
Jim Barrett,Dam 00 Agent,1:57,93,4-Sep-15,
Dan Parker,Dam 00 Agent,1:57,93,14-Jun-17,
Daniel Coelho,Dam 00 Agent,1:57,93,20-Sep-17,
Bryan B,Dam 00 Agent,1:58,88,29-Mar-08,
Philip Bezgoubov,Dam 00 Agent,1:58,88,18-Apr-14,
Alex Anderson,Dam 00 Agent,1:58,88,1-Oct-15,
Eise S,Dam 00 Agent,1:58,88,2-Jan-16,
Austin H,Dam 00 Agent,1:58,88,22-Sep-18,
Luke Pettit,Dam 00 Agent,1:59,83,4-Jul-12,
Justin St-Pierre,Dam 00 Agent,1:59,83,10-Apr-16,
Carl-Magnus Wall,Dam 00 Agent,1:59,83,1-Aug-16,
Sam Rodrigues,Dam 00 Agent,1:59,83,13-Feb-17,
Rich Noe,Dam 00 Agent,1:59,83,4-Feb-18,
Charlie Yeudall,Dam 00 Agent,1:59,83,22-Aug-18,
Dan Cervone,Dam 00 Agent,2:00,77,16-May-05,
Guilherme Alberto,Dam 00 Agent,2:00,77,22-Jan-12,
Ryan Koch,Dam 00 Agent,2:00,77,20-May-12,
David Witten,Dam 00 Agent,2:00,77,25-May-12,
Ryan Lockwood,Dam 00 Agent,2:00,77,21-Nov-13,
Trent H,Dam 00 Agent,2:00,77,1-Aug-14,
Karl Jobst,Dam 00 Agent,2:00,77,1-Aug-14,
Jonathan Hotinski,Dam 00 Agent,2:00,77,23-Feb-17,
Kyle Wiebenga,Dam 00 Agent,2:00,77,26-May-17,
Ludovic Begon,Dam 00 Agent,2:00,77,10-Jan-18,
Wouter Jansen,Dam 00 Agent,2:01,67,30-Jan-04,
Jimmy Bauer,Dam 00 Agent,2:01,67,29-Oct-08,
Patrik Nilsson,Dam 00 Agent,2:01,67,19-Mar-09,
Axel Zakrisson,Dam 00 Agent,2:01,67,28-Jun-09,
Shawn Johnson,Dam 00 Agent,2:01,67,14-Aug-09,
Michael K,Dam 00 Agent,2:01,67,4-Mar-14,
Øyvind Persvik,Dam 00 Agent,2:01,67,1-Feb-16,
Sakuya A,Dam 00 Agent,2:01,67,1-May-17,
Gus Riolo,Dam 00 Agent,2:01,67,3-Jun-17,
Daniel Dickens,Dam 00 Agent,2:01,67,21-Jul-17,
Tyler Deel,Dam 00 Agent,2:01,67,6-Aug-17,
Oscar Pleininger,Dam 00 Agent,2:01,67,20-Oct-17,
Eric Liikala,Dam 00 Agent,2:01,67,24-Dec-17,
Irie Butler,Dam 00 Agent,2:01,67,6-Feb-18,
Brent McGarvey,Dam 00 Agent,2:01,67,1-Jun-18,
Timmy Johansson,Dam 00 Agent,2:01,67,14-Jun-18,
Vitor Miranda,Dam 00 Agent,2:01,67,4-Jul-18,
Greg Larkin,Dam 00 Agent,2:01,67,26-Jul-18,
Hayden King,Dam 00 Agent,2:01,67,28-Jul-18,
Matthew Burden,Dam 00 Agent,2:01,67,11-Nov-18,
Eddie Lovins,Dam 00 Agent,2:01,67,,
Rayan I,Facility Agent,0:43,100,27-Dec-12,
Marc Rützou,Facility Agent,0:43,100,4-Oct-13,
Luke Szklarz,Facility Agent,0:43,100,24-Dec-13,
Daniel Coelho,Facility Agent,0:43,100,21-Jan-15,
David Clemens,Facility Agent,0:43,100,13-Apr-16,
Ryan Lockwood,Facility Agent,0:43,100,8-Sep-16,
Dan Parker,Facility Agent,0:43,100,10-Mar-17,
Gus Riolo,Facility Agent,0:43,100,4-Oct-17,
Karl Jobst,Facility Agent,0:43,100,3-Jan-18,
Jimmy Bauer,Facility Agent,0:44,88,2-Apr-14,
Eise S,Facility Agent,0:44,88,24-Jun-14,
Bryan B,Facility Agent,0:44,88,5-Jul-14,
Jim Barrett,Facility Agent,0:44,88,22-Oct-14,
Justin St-Pierre,Facility Agent,0:44,88,18-Nov-14,
Ryan W,Facility Agent,0:44,88,31-Dec-14,
Alex Carvalho ,Facility Agent,0:44,88,1-Mar-15,
Sam Rodrigues,Facility Agent,0:44,88,19-Aug-15,
Jonathan Hotinski,Facility Agent,0:44,88,21-Aug-15,
Ilari Pekkala,Facility Agent,0:44,88,25-Oct-15,
Ludovic Begon,Facility Agent,0:44,88,16-Jan-16,
Alec M,Facility Agent,0:44,88,31-Mar-16,
Oscar Pleininger,Facility Agent,0:44,88,2-May-16,
Jezz S,Facility Agent,0:44,88,11-May-16,
Ryan Koch,Facility Agent,0:44,88,30-Nov-16,
Randy Buikema,Facility Agent,0:44,88,13-Feb-17,
Tyler Deel,Facility Agent,0:44,88,30-Mar-17,
Craig McGrath,Facility Agent,0:44,88,11-Oct-18,
Joris Quevedo,Facility Agent,0:44,88,31-Oct-18,
Leonardo Santos,Facility Agent,0:45,69,8-Feb-08,
Luke Pettit,Facility Agent,0:45,69,10-Jul-12,
